name,position,GP,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pts_per_g
Jaylen Martin,SF,12,1.6,3.7,.432,0.4,1.0,.417,0.3,0.3,1.000,2.3,0.8,0.2,0.0,0.7,3.8
Cam Spencer,SG,20,1.2,2.9,.421,0.7,1.8,.371,0.9,0.9,1.000,1.4,1.3,0.3,0.1,0.3,3.9
Reed Sheppard,PG,45,1.4,4.4,.332,0.7,2.5,.279,0.3,0.4,.813,1.4,1.2,0.6,0.3,0.6,3.9
Olivier-Maxence Prosper,PF,52,1.3,3.3,.402,0.2,1.0,.235,0.9,1.5,.645,2.4,0.8,0.5,0.1,0.3,3.9
Kris Murray,SF,61,1.6,3.7,.432,0.4,1.6,.242,0.3,0.8,.413,2.4,0.9,0.5,0.2,0.6,3.9
Malaki Branham,SG,40,1.4,3.2,.441,0.6,1.6,.403,0.5,0.6,.800,1.0,0.7,0.2,0.1,0.8,3.9
Nicolas Batum,PF,71,1.3,3.1,.427,1.1,2.6,.424,0.2,0.3,.833,2.8,1.1,0.7,0.5,0.4,3.9
Wendell Moore Jr.,SG,12,2.1,4.5,.463,0.6,1.5,.389,0.4,0.7,.625,3.3,1.2,0.4,0.2,0.9,5.2
Wendell Moore Jr.,SG,20,1.2,2.5,.460,0.2,0.7,.286,0.7,0.7,.929,2.2,1.2,0.5,0.2,0.5,3.2
Wendell Moore Jr.,SG,32,1.5,3.3,.462,0.3,1.0,.344,0.6,0.7,.818,2.6,1.2,0.5,0.2,0.6,3.9
Elfrid Payton,PG,6,0.5,3.5,.143,0.0,0.0,,0.0,0.0,,2.2,3.3,1.0,0.5,1.2,1.0
Elfrid Payton,PG,10,2.8,6.4,.438,0.0,0.1,.000,0.1,0.3,.333,3.5,7.3,1.1,0.5,2.9,5.7
